Country name,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Finland,7.804,0.036,7.875,7.733,10.792,0.969,71.15,0.961,-0.019,0.182,1.778,1.888,1.585,0.535,0.772,0.126,0.535,2.363
Denmark,7.586,0.041,7.667,7.506,10.962,0.954,71.25,0.934,0.134,0.196,1.778,1.949,1.548,0.537,0.734,0.208,0.525,2.084
Iceland,7.53,0.049,7.625,7.434,10.896,0.983,72.05,0.936,0.211,0.668,1.778,1.926,1.62,0.559,0.738,0.25,0.187,2.25
Israel,7.473,0.032,7.535,7.411,10.639,0.943,72.697,0.809,-0.023,0.708,1.778,1.833,1.521,0.577,0.569,0.124,0.158,2.691
Netherlands,7.403,0.029,7.46,7.346,10.942,0.93,71.55,0.887,0.213,0.379,1.778,1.942,1.488,0.545,0.672,0.251,0.394,2.11
Sweden,7.395,0.037,7.468,7.322,10.883,0.939,72.15,0.948,0.165,0.202,1.778,1.921,1.51,0.562,0.754,0.225,0.52,1.903
Norway,7.315,0.044,7.402,7.229,11.088,0.943,71.5,0.947,0.141,0.283,1.778,1.994,1.521,0.544,0.752,0.212,0.463,1.829
Switzerland,7.24,0.043,7.324,7.156,11.164,0.92,72.9,0.891,0.027,0.266,1.778,2.022,1.463,0.582,0.678,0.151,0.475,1.87
Luxembourg,7.228,0.069,7.363,7.093,11.66,0.879,71.675,0.915,0.024,0.345,1.778,2.2,1.357,0.549,0.71,0.149,0.418,1.845
New Zealand,7.123,0.038,7.198,7.048,10.662,0.952,70.35,0.887,0.175,0.271,1.778,1.842,1.544,0.513,0.672,0.23,0.471,1.852
Austria,7.097,0.04,7.176,7.018,10.899,0.888,71.15,0.855,0.102,0.497,1.778,1.927,1.382,0.535,0.63,0.191,0.31,2.124
Australia,7.095,0.044,7.18,7.009,10.821,0.934,71.05,0.89,0.198,0.496,1.778,1.899,1.497,0.532,0.677,0.242,0.31,1.938
Canada,6.961,0.042,7.042,6.879,10.773,0.929,71.4,0.874,0.153,0.42,1.778,1.881,1.484,0.541,0.656,0.218,0.364,1.815
Ireland,6.911,0.044,6.996,6.825,11.527,0.905,71.3,0.874,0.092,0.358,1.778,2.152,1.425,0.539,0.656,0.186,0.409,1.545
United States,6.894,0.047,6.986,6.802,11.048,0.919,65.85,0.8,0.137,0.689,1.778,1.98,1.46,0.39,0.557,0.21,0.172,2.124
Germany,6.892,0.049,6.989,6.795,10.879,0.896,71.3,0.846,0.03,0.42,1.778,1.919,1.401,0.539,0.618,0.153,0.365,1.898
Belgium,6.859,0.034,6.926,6.793,10.844,0.915,70.899,0.825,0.001,0.549,1.778,1.907,1.449,0.528,0.59,0.137,0.273,1.976
Czechia,6.845,0.044,6.931,6.759,10.611,0.953,69.05,0.903,0.04,0.859,1.778,1.823,1.544,0.477,0.693,0.158,0.05,2.099
United Kingdom,6.796,0.042,6.877,6.714,10.704,0.882,70.3,0.852,0.253,0.454,1.778,1.857,1.366,0.511,0.626,0.272,0.34,1.822
Lithuania,6.763,0.044,6.849,6.677,10.568,0.939,67.397,0.748,-0.145,0.805,1.778,1.808,1.511,0.432,0.487,0.059,0.089,2.377
France,6.661,0.038,6.735,6.588,10.701,0.909,72.3,0.819,-0.1,0.553,1.778,1.856,1.433,0.566,0.582,0.083,0.27,1.872
Slovenia,6.65,0.051,6.75,6.55,10.588,0.951,71.052,0.913,0.014,0.771,1.778,1.815,1.539,0.532,0.707,0.144,0.113,1.799
Costa Rica,6.609,0.052,6.71,6.507,9.952,0.872,70,0.895,-0.07,0.768,1.778,1.587,1.34,0.503,0.683,0.099,0.116,2.281
Romania,6.589,0.052,6.69,6.488,10.339,0.848,67.051,0.856,-0.172,0.929,1.778,1.726,1.28,0.423,0.631,0.044,0,2.485
Singapore,6.587,0.068,6.72,6.454,11.571,0.878,73.8,0.878,0.063,0.146,1.778,2.168,1.354,0.607,0.66,0.17,0.561,1.067
United Arab Emirates,6.571,0.043,6.656,6.486,11.145,0.826,66.243,0.942,0.096,0.584,1.778,2.015,1.223,0.401,0.745,0.188,0.247,1.752
Taiwan Province of China,6.535,0.047,6.627,6.444,10.797,0.884,69.6,0.804,-0.129,0.681,1.778,1.89,1.372,0.492,0.562,0.067,0.178,1.974
Uruguay,6.494,0.046,6.583,6.404,10.037,0.913,67.5,0.895,-0.065,0.575,1.778,1.617,1.445,0.435,0.683,0.102,0.254,1.958
Slovakia,6.469,0.056,6.578,6.36,10.353,0.953,68.838,0.753,-0.016,0.898,1.778,1.731,1.544,0.472,0.494,0.128,0.022,2.078
Saudi Arabia,6.463,0.061,6.581,6.344,10.715,0.884,64.399,0.894,-0.081,0.691,1.778,1.861,1.37,0.351,0.682,0.093,0.17,1.936
Estonia,6.455,0.04,6.534,6.377,10.541,0.946,69.65,0.929,0.032,0.409,1.778,1.798,1.526,0.494,0.728,0.153,0.372,1.383
Spain,6.436,0.042,6.519,6.354,10.54,0.932,72.35,0.782,-0.066,0.711,1.778,1.798,1.491,0.567,0.533,0.101,0.157,1.789
Italy,6.405,0.054,6.511,6.298,10.634,0.882,72.05,0.711,-0.074,0.842,1.778,1.832,1.365,0.559,0.438,0.097,0.063,2.052
Kosovo,6.368,0.06,6.485,6.25,9.359,0.844,65.195,0.861,0.259,0.866,1.778,1.374,1.269,0.372,0.639,0.275,0.045,2.393
Chile,6.334,0.046,6.424,6.243,10.114,0.889,70.3,0.792,-0.011,0.823,1.778,1.645,1.384,0.511,0.546,0.131,0.076,2.04
Mexico,6.33,0.057,6.441,6.218,9.85,0.804,65.8,0.856,-0.094,0.768,1.778,1.55,1.169,0.389,0.632,0.086,0.115,2.389
Malta,6.3,0.045,6.388,6.212,10.661,0.923,71.6,0.886,0.119,0.729,1.778,1.841,1.468,0.547,0.671,0.2,0.143,1.429
Panama,6.265,0.081,6.424,6.105,10.305,0.896,68.95,0.855,-0.133,0.878,1.778,1.714,1.402,0.475,0.63,0.065,0.036,1.943
Poland,6.26,0.042,6.343,6.177,10.453,0.925,69.049,0.765,-0.031,0.736,1.778,1.767,1.474,0.477,0.511,0.12,0.139,1.772
Nicaragua,6.259,0.076,6.408,6.109,8.618,0.853,65.65,0.877,0.021,0.625,1.778,1.109,1.292,0.385,0.66,0.148,0.218,2.448
Latvia,6.213,0.042,6.295,6.131,10.37,0.937,66.4,0.818,-0.056,0.83,1.778,1.737,1.505,0.405,0.58,0.107,0.071,1.808
Bahrain,6.173,0.1,6.369,5.977,10.776,0.844,65.825,0.944,0.117,0.737,1.778,1.883,1.269,0.389,0.748,0.199,0.138,1.546
Guatemala,6.15,0.108,6.362,5.939,9.116,0.812,62.9,0.856,-0.057,0.837,1.778,1.287,1.188,0.31,0.631,0.106,0.066,2.562
Kazakhstan,6.144,0.048,6.239,6.049,10.166,0.931,65.802,0.853,0,0.721,1.778,1.664,1.491,0.389,0.628,0.136,0.149,1.688
Serbia,6.144,0.079,6.299,5.988,9.854,0.873,67.088,0.845,0.204,0.816,1.778,1.552,1.343,0.424,0.617,0.246,0.081,1.881
Cyprus,6.13,0.054,6.236,6.024,10.611,0.826,72.802,0.724,-0.06,0.86,1.778,1.824,1.224,0.58,0.455,0.104,0.05,1.893
Japan,6.129,0.042,6.211,6.047,10.616,0.894,74.349,0.799,-0.237,0.64,1.778,1.825,1.396,0.622,0.556,0.009,0.207,1.513
Croatia,6.125,0.057,6.237,6.013,10.341,0.917,68.95,0.757,-0.093,0.925,1.778,1.727,1.455,0.475,0.5,0.087,0.003,1.88
Brazil,6.125,0.065,6.252,5.997,9.582,0.836,65.749,0.801,-0.009,0.738,1.778,1.454,1.25,0.387,0.558,0.131,0.137,2.205
El Salvador,6.122,0.069,6.257,5.986,9.089,0.755,65.597,0.918,-0.108,0.62,1.778,1.278,1.044,0.383,0.713,0.079,0.222,2.403
Hungary,6.041,0.055,6.149,5.933,10.419,0.943,67.5,0.758,-0.059,0.839,1.778,1.754,1.519,0.435,0.501,0.105,0.065,1.663
Argentina,6.024,0.063,6.147,5.9,9.959,0.891,67.2,0.823,-0.089,0.814,1.778,1.59,1.388,0.427,0.587,0.088,0.082,1.861
Honduras,6.023,0.089,6.196,5.849,8.635,0.766,64.063,0.843,0.097,0.843,1.778,1.115,1.072,0.341,0.613,0.189,0.062,2.631
Uzbekistan,6.014,0.059,6.13,5.899,8.948,0.875,65.301,0.938,0.23,0.638,1.778,1.227,1.347,0.375,0.74,0.26,0.208,1.856
Malaysia,6.012,0.079,6.167,5.858,10.169,0.799,65.662,0.877,0.16,0.758,1.778,1.665,1.155,0.385,0.659,0.222,0.122,1.804
Portugal,5.968,0.055,6.076,5.86,10.429,0.878,71.25,0.902,-0.196,0.878,1.778,1.758,1.356,0.537,0.693,0.031,0.037,1.556
South Korea,5.951,0.045,6.04,5.862,10.693,0.812,73.65,0.717,-0.046,0.701,1.778,1.853,1.188,0.603,0.446,0.112,0.163,1.587
Greece,5.931,0.048,6.024,5.838,10.288,0.835,71.15,0.568,-0.24,0.793,1.778,1.708,1.247,0.535,0.248,0.008,0.097,2.089
Mauritius,5.902,0.057,6.013,5.791,9.957,0.888,63.85,0.813,-0.028,0.775,1.778,1.589,1.382,0.336,0.574,0.121,0.11,1.79
Thailand,5.843,0.064,5.969,5.717,9.751,0.874,68.45,0.85,0.289,0.91,1.778,1.515,1.344,0.461,0.624,0.291,0.013,1.594
Mongolia,5.84,0.046,5.93,5.75,9.372,0.933,60.5,0.701,0.19,0.849,1.778,1.379,1.494,0.244,0.425,0.239,0.058,2.001
Kyrgyzstan,5.825,0.045,5.913,5.737,8.486,0.911,66.852,0.934,0.181,0.904,1.778,1.061,1.439,0.417,0.735,0.234,0.018,1.92
Moldova,5.819,0.052,5.922,5.717,9.499,0.857,65.299,0.84,-0.08,0.901,1.778,1.425,1.302,0.375,0.61,0.093,0.02,1.995
China,5.818,0.044,5.905,5.731,9.738,0.836,68.689,0.882,-0.041,0.727,1.778,1.51,1.249,0.468,0.666,0.115,0.145,1.666
Vietnam,5.763,0.052,5.865,5.662,9.287,0.821,65.502,0.939,-0.004,0.759,1.778,1.349,1.212,0.381,0.741,0.134,0.122,1.824
Paraguay,5.738,0.058,5.851,5.625,9.51,0.906,65.9,0.891,0.021,0.843,1.778,1.428,1.427,0.392,0.678,0.148,0.062,1.604
Montenegro,5.722,0.112,5.941,5.503,9.813,0.89,67.1,0.805,0.063,0.844,1.778,1.537,1.385,0.424,0.563,0.17,0.061,1.581
Jamaica,5.703,0.089,5.876,5.529,9.165,0.867,66.6,0.822,-0.106,0.875,1.778,1.305,1.329,0.411,0.587,0.079,0.039,1.954
Bolivia,5.684,0.057,5.797,5.572,8.985,0.811,63.599,0.868,-0.063,0.846,1.778,1.24,1.187,0.329,0.648,0.103,0.06,2.118
Russia,5.661,0.037,5.734,5.588,10.21,0.889,64.947,0.719,-0.03,0.801,1.778,1.68,1.383,0.366,0.449,0.12,0.091,1.572
Bosnia and Herzegovina,5.633,0.073,5.775,5.49,9.616,0.88,67.275,0.746,0.206,0.918,1.778,1.467,1.361,0.429,0.485,0.247,0.008,1.635
Colombia,5.63,0.06,5.747,5.514,9.584,0.822,69.35,0.804,-0.104,0.834,1.778,1.455,1.213,0.486,0.562,0.08,0.068,1.765
Dominican Republic,5.569,0.073,5.712,5.426,9.811,0.827,64.399,0.85,-0.099,0.657,1.778,1.536,1.227,0.351,0.623,0.083,0.195,1.553
Ecuador,5.559,0.063,5.682,5.436,9.27,0.806,69,0.802,-0.108,0.833,1.778,1.343,1.173,0.476,0.56,0.079,0.069,1.86
Peru,5.526,0.058,5.64,5.412,9.402,0.798,69.85,0.794,-0.119,0.892,1.778,1.39,1.153,0.499,0.549,0.073,0.027,1.835
Philippines,5.523,0.077,5.675,5.371,8.979,0.78,62.038,0.919,-0.06,0.732,1.778,1.238,1.108,0.286,0.714,0.104,0.141,1.931
Bulgaria,5.466,0.059,5.582,5.35,10.087,0.918,66.5,0.801,-0.057,0.911,1.778,1.635,1.457,0.408,0.557,0.106,0.013,1.289
Nepal,5.36,0.075,5.507,5.214,8.256,0.748,61.847,0.808,0.146,0.783,1.778,0.979,1.027,0.281,0.567,0.215,0.104,2.187
Armenia,5.342,0.066,5.47,5.213,9.615,0.79,67.789,0.796,-0.155,0.705,1.778,1.466,1.134,0.443,0.551,0.053,0.16,1.534
Tajikistan,5.33,0.062,5.452,5.207,8.237,0.836,62.226,0.832,-0.06,0.522,1.778,0.972,1.248,0.291,0.599,0.104,0.292,1.823
Algeria,5.329,0.062,5.451,5.207,9.3,0.855,66.549,0.571,-0.117,0.717,1.778,1.353,1.298,0.409,0.252,0.073,0.152,1.791
Hong Kong S.A.R. of China,5.308,0.048,5.403,5.214,10.966,0.817,77.28,0.687,-0.026,0.385,1.778,1.951,1.201,0.702,0.407,0.123,0.39,0.535
Albania,5.277,0.066,5.406,5.148,9.567,0.718,69.15,0.794,-0.007,0.878,1.778,1.449,0.951,0.48,0.549,0.133,0.037,1.678
Indonesia,5.277,0.059,5.392,5.161,9.385,0.804,63.048,0.88,0.531,0.876,1.778,1.384,1.169,0.314,0.663,0.422,0.038,1.288
South Africa,5.275,0.073,5.417,5.132,9.478,0.907,56.989,0.73,-0.087,0.902,1.778,1.417,1.428,0.149,0.464,0.09,0.019,1.708
Congo (Brazzaville),5.267,0.088,5.44,5.094,8.095,0.605,56.85,0.73,-0.004,0.739,1.778,0.921,0.665,0.145,0.464,0.134,0.136,2.802
North Macedonia,5.254,0.055,5.361,5.146,9.703,0.805,66.5,0.769,0.131,0.902,1.778,1.498,1.171,0.408,0.515,0.207,0.02,1.435
Venezuela,5.211,0.064,5.336,5.085,5.527,0.839,64.05,0.659,0.128,0.811,1.778,0,1.257,0.341,0.369,0.205,0.084,2.955
Laos,5.111,0.081,5.269,4.952,8.962,0.679,60.946,0.919,0.091,0.703,1.778,1.232,0.853,0.257,0.715,0.185,0.162,1.707
Georgia,5.109,0.056,5.219,5,9.646,0.716,64.95,0.786,-0.254,0.649,1.778,1.477,0.947,0.366,0.539,0,0.201,1.58
Guinea,5.072,0.072,5.213,4.931,7.88,0.649,54.185,0.659,0.125,0.787,1.778,0.844,0.776,0.072,0.369,0.204,0.102,2.705
Ukraine,5.071,0.059,5.187,4.956,9.314,0.878,64.55,0.795,0.24,0.907,1.778,1.358,1.354,0.355,0.551,0.265,0.016,1.172
Ivory Coast,5.053,0.074,5.198,4.907,8.576,0.572,55.953,0.733,0.003,0.746,1.778,1.094,0.584,0.12,0.467,0.138,0.131,2.519
Gabon,5.035,0.072,5.175,4.894,9.537,0.746,58.252,0.642,-0.187,0.786,1.778,1.438,1.021,0.183,0.346,0.036,0.102,1.908
Nigeria,4.981,0.08,5.136,4.825,8.496,0.74,54.891,0.718,0.073,0.911,1.778,1.065,1.007,0.092,0.448,0.176,0.013,2.181
Cameroon,4.973,0.071,5.112,4.834,8.217,0.686,55.847,0.686,0.015,0.846,1.778,0.965,0.871,0.118,0.405,0.144,0.059,2.411
Mozambique,4.954,0.116,5.181,4.727,7.116,0.692,51.53,0.851,0.047,0.66,1.778,0.57,0.885,0,0.625,0.161,0.192,2.519
Iraq,4.941,0.081,5.099,4.783,9.098,0.718,63.415,0.646,-0.005,0.876,1.778,1.281,0.953,0.324,0.351,0.134,0.038,1.861
State of Palestine,4.908,0.092,5.089,4.727,8.716,0.859,,0.694,-0.132,0.836,1.778,1.144,1.309,,0.416,0.065,0.067,
Morocco,4.903,0.061,5.023,4.783,8.973,0.553,63.901,0.787,-0.231,0.811,1.778,1.236,0.535,0.337,0.54,0.013,0.085,2.158
Iran,4.876,0.053,4.98,4.772,9.61,0.778,66.6,0.593,0.173,0.747,1.778,1.465,1.102,0.411,0.281,0.229,0.13,1.259
Senegal,4.855,0.065,4.983,4.727,8.155,0.629,59.999,0.772,0.011,0.846,1.778,0.943,0.727,0.231,0.519,0.142,0.06,2.234
Mauritania,4.724,0.147,5.011,4.437,8.591,0.644,60.475,0.622,-0.013,0.657,1.778,1.099,0.764,0.244,0.32,0.13,0.195,1.973
Burkina Faso,4.638,0.093,4.819,4.456,7.667,0.663,55.461,0.696,0.095,0.771,1.778,0.768,0.814,0.107,0.419,0.188,0.113,2.23
Namibia,4.631,0.069,4.766,4.496,9.121,0.787,56.851,0.669,-0.126,0.83,1.778,1.289,1.126,0.145,0.383,0.069,0.071,1.549
Turkiye,4.614,0.083,4.777,4.45,10.307,0.796,68.663,0.475,-0.077,0.795,1.778,1.714,1.148,0.467,0.125,0.095,0.096,0.969
Ghana,4.605,0.063,4.729,4.481,8.596,0.641,58.763,0.777,0.139,0.881,1.778,1.101,0.756,0.197,0.526,0.211,0.035,1.779
Pakistan,4.555,0.077,4.707,4.404,8.54,0.601,57.313,0.766,0.008,0.787,1.778,1.081,0.657,0.158,0.511,0.141,0.102,1.907
Niger,4.501,0.108,4.712,4.291,7.091,0.59,56.55,0.788,0.032,0.734,1.778,0.561,0.628,0.137,0.54,0.154,0.14,2.341
Tunisia,4.497,0.053,4.601,4.393,9.244,0.73,67,0.576,-0.213,0.907,1.778,1.333,0.981,0.422,0.259,0.022,0.016,1.463
Kenya,4.487,0.066,4.616,4.357,8.458,0.69,58.499,0.696,0.288,0.852,1.778,1.051,0.881,0.19,0.418,0.291,0.055,1.601
Sri Lanka,4.442,0.083,4.603,4.28,9.491,0.826,67.15,0.787,-0.03,0.808,1.778,1.422,1.224,0.426,0.539,0.12,0.086,0.625
Uganda,4.432,0.089,4.607,4.258,7.716,0.794,58.913,0.701,0.114,0.857,1.778,0.785,1.144,0.201,0.425,0.197,0.051,1.628
Chad,4.397,0.121,4.633,4.16,7.261,0.722,53.125,0.677,0.221,0.807,1.778,0.622,0.962,0.043,0.393,0.255,0.088,2.034
Cambodia,4.393,0.059,4.508,4.279,8.385,0.747,61.9,0.958,0.073,0.857,1.778,1.025,1.024,0.283,0.768,0.176,0.051,1.068
Benin,4.374,0.066,4.504,4.244,8.103,0.437,56.095,0.743,-0.043,0.576,1.778,0.924,0.242,0.124,0.481,0.114,0.253,2.235
Myanmar,4.372,0.082,4.533,4.212,8.404,0.787,61.388,0.727,0.491,0.658,1.778,1.032,1.125,0.269,0.46,0.4,0.194,0.893
Bangladesh,4.282,0.068,4.416,4.148,8.685,0.544,64.548,0.845,0.005,0.698,1.778,1.133,0.513,0.355,0.617,0.139,0.165,1.361
Gambia,4.279,0.105,4.484,4.075,7.648,0.584,57.9,0.596,0.364,0.883,1.778,0.761,0.614,0.174,0.286,0.332,0.033,2.081
Mali,4.198,0.062,4.319,4.076,7.655,0.593,55.403,0.713,-0.028,0.846,1.778,0.763,0.637,0.106,0.441,0.121,0.059,2.07
Egypt,4.17,0.059,4.287,4.054,9.367,0.726,63.503,0.732,-0.183,0.58,1.778,1.377,0.972,0.326,0.467,0.038,0.25,0.74
Togo,4.137,0.077,4.289,3.986,7.673,0.595,57.449,0.657,0.024,0.74,1.778,0.77,0.642,0.161,0.367,0.149,0.136,1.913
Jordan,4.12,0.062,4.242,3.997,9.13,0.729,67.6,0.77,-0.15,0.687,1.778,1.292,0.98,0.438,0.517,0.056,0.173,0.663
Ethiopia,4.091,0.093,4.273,3.908,7.739,0.782,60.698,0.72,0.273,0.789,1.778,0.793,1.114,0.25,0.451,0.283,0.101,1.099
Liberia,4.042,0.144,4.325,3.76,7.277,0.596,56.7,0.735,0.154,0.83,1.778,0.628,0.644,0.141,0.471,0.219,0.071,1.869
India,4.036,0.029,4.092,3.98,8.759,0.608,60.777,0.897,0.072,0.774,1.778,1.159,0.674,0.252,0.685,0.175,0.111,0.979
Madagascar,4.019,0.092,4.199,3.839,7.29,0.65,58.05,0.522,0.075,0.742,1.778,0.632,0.779,0.178,0.187,0.177,0.134,1.932
Zambia,3.982,0.094,4.167,3.797,8.074,0.694,55.032,0.791,0.098,0.818,1.778,0.914,0.89,0.095,0.545,0.189,0.08,1.27
Tanzania,3.694,0.075,3.84,3.547,7.857,0.653,59.401,0.838,0.182,0.554,1.778,0.836,0.787,0.214,0.607,0.234,0.269,0.747
Comoros,3.545,0.117,3.774,3.317,8.075,0.471,59.425,0.47,-0.014,0.727,1.778,0.914,0.327,0.215,0.117,0.129,0.145,1.699
Malawi,3.495,0.09,3.671,3.32,7.302,0.531,58.475,0.75,0.005,0.749,1.778,0.637,0.479,0.189,0.49,0.139,0.129,1.432
Botswana,3.435,0.136,3.702,3.168,9.629,0.753,54.725,0.742,-0.215,0.83,1.778,1.471,1.041,0.087,0.48,0.021,0.071,0.264
Congo (Kinshasa),3.207,0.095,3.394,3.02,7.007,0.652,55.375,0.664,0.086,0.834,1.778,0.531,0.784,0.105,0.375,0.183,0.068,1.162
Zimbabwe,3.204,0.061,3.323,3.084,7.641,0.69,54.05,0.654,-0.046,0.766,1.778,0.758,0.881,0.069,0.363,0.112,0.117,0.905
Sierra Leone,3.138,0.082,3.299,2.976,7.394,0.555,54.9,0.66,0.105,0.858,1.778,0.67,0.54,0.092,0.371,0.193,0.051,1.221
Lebanon,2.392,0.044,2.479,2.305,9.478,0.53,66.149,0.474,-0.141,0.891,1.778,1.417,0.476,0.398,0.123,0.061,0.027,-0.11
Afghanistan,1.859,0.033,1.923,1.795,7.324,0.341,54.712,0.382,-0.081,0.847,1.778,0.645,0,0.087,0,0.093,0.059,0.976
